Authors	Title	Year	Type	Source	Publisher	ArticleURL	Volume	Issue	StartPage	EndPage
P Tutelaers	Herfstspinnen bij onze hunebedden	2001	Article	Nieuwsbrief SPINED		https://natuurtijdschriften.nl/pub/541472	16	NA	7	9
AM Höfer, J Spelda	On the distribution of Astrobunus laevipes Canestrini, 1872 (Arachnida: Opiliones) in Central Europe	2001	Article	Arachnologische Mitteilungen: Arachnology Letters		https://pdfs.semanticscholar.org/398b/f97108bde64605e9d2e326dde4350739de39.pdf	22	NA	42	49
R Beck, H Perschl, G Ohrner	Die Listspinne Pisaura mirabilis (Clerck 1757)	2002	Article	LWF-aktuell		https://www.lfl.bayern.de/mam/cms04/service/dateien/a36_fortschritt_und_tradition.pdf	36	NA	34	35
E Bauchhenß	Die Spinnenfauna eines thermophilen Waldmantels in Mittelfranken (Bayern)	2002	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM23_01_21.pdf	23	NA	1	21
T Blick, E Christian	Tasterläufer (Arachnida, Palpigradi): eine biospeläologische Herausforderung	2002	Article	Mitteilungen des Verbandes der deutschen Höhlen-und Karstforscher		https://www.academia.edu/download/41160410/Tasterlufer_Arachnida_Palpigradi_-_ein20160114-25062-gxojoe.pdf20160114-19908-bp56vu.pdf	48	3	72	73
U Simon, P Jäger, M Kreuels	Die "Große Zitterspinne" (Pholcus phalangioides)	2003	Article	LWF-aktuell		https://www.lfl.bayern.de/mam/cms04/service/dateien/a38-biotischer-waldschutz.pdf	38	NA	23	25
J KIECHLE, J TRAUTNER	Funde der Sackspinne Clubiona similis L. Koch, 1867 am baden-wurttembergischen OberrheinIDeutschland (Araneae: Clubionidae)	2003	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM26_32_35.pdf	26	NA	32	35
A Hänggi	Nachträge zum „Katalog der schweizerischen Spinnen “–3. Neunachweise von 1999 bis 2002 und Nachweise synanthroper Spinnen	2003	Check list	Arachnologische Mitteilungen: Arachnology Letters		https://www.zobodat.at/pdf/Arachnologische-Mitteilungen_26_0036-0054.pdf	26	NA	36	54
T Blick	Rote Liste gefährdeter Pseudoskorpione (Arachnida: Pseudoscorpiones) Bayerns	2003	Red List		BayLfU	http://www.callistus.de/pdf_theo/Blick_60_RLBayern_Pseudoscorpiones.pdf	166	NA	325	327
T Blick	Rote Liste gefährdeter Spinnen (Arachnida: Araneae) Bayerns	2003	Red List		BayLfU	https://www.researchgate.net/profile/Theo-Blick/publication/236677036_Rote_Liste_gefahrdeter_Spinnen_Arachnida_Araneae_Bayerns/links/00b495197cc2f82d8e000000/Rote-Liste-gefaehrdeter-Spinnen-Arachnida-Araneae-Bayerns.pdf	166	NA	308	321
C Muster, T Blick	Rote Liste gefährdeter Weberknechte (Arachnida: Opiliones) Bayerns	2003	Red List		BayLfU	https://arages.de/fileadmin/Pdf/Muster2003.pdf	166	NA	322	324
T KRONESTEDT, DV Logunov	Separation of two species standing as Sitticus zimmermanni (Simon, 1877)(Araneae, Salticidae), a pair of altitudinally	2003	Article	Revue suisse de Zoologie		https://www.sssn.it/PDF/biblio_aracnidi/Kronestedt_&_Logunov_2003_Rev_110_855_873.pdf	110	4	855	873
T Blick	Spinnentiere einer neu angelegten Pappel-Kurzumtriebsfläche (Energiewald) und eines Ackers bei Schwarzenau (Lkr. Kitzingen, Unterfranken, Bayern)	2003	Article	Arachnologische Mitteilungen: Arachnology Letters		https://www.researchgate.net/profile/Theo-Blick/publication/253954687_Spinnentiere_einer_neu_angelegten_Pappel-Kurzumtriebsflache_Energiewald_und_eines_Ackers_bei_Schwarzenau_Lkr_Kitzingen_Unterfranken_Bayern_Arachnids_from_a_newly-created_short-rotation_poplar_coppice_/links/00b7d51fb61632e355000000/Spinnentiere-einer-neu-angelegten-Pappel-Kurzumtriebsflaeche-Energiewald-und-eines-Ackers-bei-Schwarzenau-Lkr-Kitzingen-Unterfranken-Bayern-Arachnids-from-a-newly-created-short-rotation-poplar-copp.pdf?origin=scientificContributions	25	NA	1	16
M Schmitt	Bemerkenswerte Spinnenfunde aus dem Landkreis Recklinghausen. Mit einer Notiz über die Wiederentdeckung von Philodromus histrio in NRW	2004	Article	Natur und Heimat		https://www.lwl.org/wmfn-download/natur_und_heimat/nh_64(1)2004_Seite_21-26.pdf	64	1	21	26
P Jäger, M Kreuels	Die Spinne des Jahres goes colour-die Grüne Huschspinne	2004	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM2728.pdf#page=123	27/28	NA	121	125
V Ducháč	Einige Funde von Afterskorpionen (Pseudoscorpiones) auf Helgoland	2004	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM2728_074_077_02.pdf	27/28	NA	74	77
A Staudt	Webspinnen - Araneida auf dem Gelände der ehemaligen Grube Reden	2004	Article	Delattinia		https://www.delattinia.de/sites/default/files/pdf/abhandlungen/Delattinia_Abh_30_2006_155-162_Staudt.pdf	30		155	162
MT Marx, AL Schönhofer	Abundanz und Vikarianz epigäischer Weberknechtarten (Arachnida: Opiliones) in einem Auwaldgebiet des Mainzer Beckens	2005	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM30_13_19.pdf	30	NA	13	19
LJ Jonsson	Agroeca dentigera and Entelecara omissa (Araneae: Liocranidae, Linyphiidae), found in Sweden	2005	Article	Arachnologische Mitteilungen: Arachnology Letters		https://www.diva-portal.org/smash/record.jsf?pid=diva2:603394	29	NA	49	52
