title	authors	source	discovered	published	open_access	peer_review	citation_type	countries_of_coverage	countries_of_researcher	keywords	literature_type	websites	identifiers	id	abstract	topics	added	gbif_download_key
 phylogatR : Phylogeographic data aggregation and repurposing	Bryan C Carstens|Stephanie Crouch|Sydney K Decker|Eric Franz|Jeffery Ohrstrom|Danielle J Parsons|Tara A Pelletier	Molecular Ecology Resources	26.06.2022	2022-06-24T00:00:00.000Z	false	true	DOI		UNITED_STATES	biodiversity informatics|data repurposing|genetic diversity|macrogenetics|open science	JOURNAL	https://doi.org/10.1111/1755-0998.13673	10.1111/1755-0998.13673	f3e87600-b2ae-31c3-a89b-5528352e5527	Patterns of genetic diversity within species contain information about the history of that species, including how they have responded to historical climate change and how easily the organism is able to disperse across its habitat. More than 40,000 phylogeographic and population genetic investigations have been published to date, each collecting genetic data from hundreds of samples. Despite these millions of data points, metaâ€analyses are challenging because the synthesis of results across hundreds of studies, each using different methods and forms of analysis, is a daunting and timeâ€consuming task. It is more efficient to proceed by repurposing existing data and using automated data analysis. To facilitate data repurposing, we created a database (phylogatR) that aggregates data from different sources and conducts automated multiple sequence alignments and data curation to provide users with nearly readyâ€toâ€analyze sets of data for thousands of species. Two types of scientific research will be made easier by phylogatR: large metaâ€analyses of thousands of species that can address classic questions in evolutionary biology and ecology, and studentâ€ or citizenâ€ science based investigations that will introduce a broad range of people to the analysis of genetic data. phylogatR enhances the value of existing data via the creation of software and webâ€based tools that enable these data to be recycled and reanalyzed and increase accessibility to big data for research labs and classroom instructors with limited computational expertise and resources.	BIOGEOGRAPHY|PHYLOGENETICS	2022-06-27T13:07:08.754Z	0147211-200613084148143
A 25,000 year record of climate and vegetation change from the southwestern Cape coast, South Africa	Lynne J. Quick|Brian M. Chase|Andrew S. Carr|Manuel Chevalier|B. Adriaan Grobler|Michael E. Meadows	Quaternary Research	04.07.2021	2021-06-25T00:00:00.000Z	false	false	generic	SOUTH_AFRICA	CHINA|UNITED_KINGDOM|GERMANY|SOUTH_AFRICA	Atlantic meridional overturning circulation|Climate change|Heinrich stadial 1|Last glacial maximum|South Africa|Vegetation dynamics	JOURNAL	https://doi.org/10.1017/qua.2021.31	10.1017/qua.2021.31	d3043541-2100-3324-a801-f672d38d9881	Abstract The southwestern Cape of South Africa is a particularly dynamic region in terms of long-term climate change. We analysed fossil pollen from a 25,000 year sediment core taken from a near-coastal wetland at Pearly Beach that revealed that distinct changes in vegetation composition occurred along the southwestern Cape coast. From these changes, considerable variability in temperature and moisture availability are inferred. Consistent with indications from elsewhere in southwestern Africa, variability in Atlantic Meridional Overturning Circulation (AMOC) was identified as a strong determinant of regional climate change. At Pearly Beach, this resulted in phases of relatively drier conditions (~24â€“22.5 cal ka BP and ~22â€“18 cal ka BP) demarcated by brief phases of increased humidity from ~24.5â€“24 cal ka BP and 22.5â€“22 cal ka BP. During glacial Termination I (~19â€“11.7 ka), a marked increase in coastal thicket pollen from ~18.5 to 15.0 cal ka BP indicates a substantial increase in moisture availability, coincident, and likely associated with, a slowing AMOC and a buildup of heat in the southern Atlantic. With clear links to glacial and deglacial Earth system dynamics and perturbations, the Pearly Beach record represents an important new contribution to a growing body of data, providing insights into the patterns and mechanisms of southwestern African climate change.	CLIMATE_CHANGE	2021-07-15T13:33:57.689Z	0068201-200613084148143|0068183-200613084148143|0068243-200613084148143|0068235-200613084148143|0068232-200613084148143|0068202-200613084148143|0068241-200613084148143|0068218-200613084148143|0068185-200613084148143|0068238-200613084148143|0068222-200613084148143|0068220-200613084148143|0068234-200613084148143|0068195-200613084148143
A benchmark dataset of herbarium specimen images with label data	Mathias Dillen|Quentin Groom|Simon Chagnoux|Anton GÃ¼ntsch|Alex Hardisty|Elspeth Haston|Laurence Livermore|Veljo Runnel|Leif Schulman|Luc Willemse|Zhengzhe Wu|Sarah Phillips	Biodiversity Data Journal	12.02.2019	2019-02-08T00:00:00.000Z	true	true	DOI		BELGIUM|UNITED_KINGDOM|NETHERLANDS|GERMANY|ESTONIA|FINLAND|FRANCE		JOURNAL	https://doi.org/10.3897/bdj.7.e31817	10.3897/bdj.7.e31817	82eb852f-e548-3eed-8855-cfe2abb8b8da	Background: More and more herbaria are digitising their collections. Images of specimens are made available online to facilitate access to them and allow extraction of information from them. Transcription of the data written on specimens is critical for general discoverability and enables incorporation into large aggregated research datasets. Different methods, such as crowdsourcing and artificial intelligence, are being developed to optimise transcription, but herbarium specimens pose difficulties in data extraction for many reasons. New information: To provide developers of transcription methods with a means of optimisation, we have compiled a benchmark dataset of 1,800 herbarium specimen images with corresponding transcribed data. These images originate from nine different collections and include specimens that reflect the multiple potential obstacles that transcription methods may encounter, such as differences in language, text format (printed or handwritten), specimen age and nomenclatural type status. We are making these specimens available with a Creative Commons Zero licence waiver and with permanent online storage of the data. By doing this, we are minimising the obstacles to the use of these images for transcription training. This benchmark dataset of images may also be used where a defined and documented set of herbarium specimens is needed, such as for the extraction of morphological traits, handwriting recognition and colour analysis of specimens.	DATA_PAPER	2020-11-24T15:51:03.490Z	0045278-180508205500799
A Biodiversity Composition Map of California Derived from Environmental DNA Metabarcoding and Earth Observation	Meixi Lin|Ariel Levi Simons|Emily E. Curd|Ryan J. Harrigan|Fabian D. Schneider|Dannise V. Ruiz-Ramos|Zack Gold|Melisa G. Osborne|Sabrina Shirazi|Teia M. Schweizer|Tiara N. Moore|Emma A. Fox|Rachel Turba|Ana E. Garcia-Vedrenne|Sarah K. Helman|Kelsi Rutledge|Maura Palacios Mejia|Miroslava N. Munguia Ramos|Regina Wetzer|Dean Pentcheff|Emily Jane McTavish|Michael N. Dawson|Beth Shapiro|Robert K. Wayne|Rachel S. Meyer	bioRxiv	21.06.2020	2020-06-20T00:00:00.000Z	false	false	DOI		UNITED_STATES	California|DNA metabarcoding|citizen and community science|community ecology|ecological modeling|environmental DNA|gradient forest|remote sensing	WORKING_PAPER	https://doi.org/10.1101/2020.06.19.160374	10.1101/2020.06.19.160374	fc80f732-e557-318a-a4cd-177a491cd3f1	Unique ecosystems globally are under threat from ongoing anthropogenic environmental change. Effective conservation management requires more thorough biodiversity surveys that can reveal system-level patterns and that can be applied rapidly across space and time. We offer a way to use environmental DNA, community science and remote sensing together as methods to reduce the discrepancy between the magnitude of change and historical approaches to measure it. Taking advantages of modern ecological models, we integrate environmental DNA and Earth observations to evaluate regional biodiversity patterns for a snapshot of time, and provide critical community-level characterization. We collected 278 samples in Spring 2017 from coastal, shrub and lowland forest sites in California, a large-scale biodiversity hotspot. We applied gradient forest to model 915 family occurrences and community composition together with environmental variables and multi-scalar habitat classifications to produce a statewide biodiversity-based map. 16,118 taxonomic entries recovered were associated with environmental variables to test their predictive strength on alpha, beta, and zeta diversity. Local habitat classification was diagnostic of community composition, illuminating a characteristic of biodiversity hotspots. Using gradient forest models, environmental variables predicted 35% of the variance in eDNA patterns at the family level, with elevation, sand percentage, and greenness (NDVI32) as the top predictors. This predictive power was higher than we found in published literature at global scale. In addition to this indication of substantial environmental filtering, we also found a positive relationship between environmentally predicted families and their numbers of biotic interactions. In aggregate, these analyses showed that strong eDNA community-environment correlation is a general characteristic of temperate ecosystems, and may explain why communities easily destabilize under disturbances. Our study provides the first example of integrating citizen science based eDNA with biodiversity mapping across the tree of life, with promises to produce large scale, high resolution assessments that promote a more comprehensive and predictive understanding of the factors that influence biodiversity and enhance its maintenance.	ECOLOGY	2020-11-24T15:51:17.369Z	0031719-191105090559680
A cautionary message on combining physiological thermal limits with macroclimatic data to predict species distribution	Mathieu Chevalier|Vincent Pignard|Olivier Broennimann|Antoine Guisan	Ecosphere	19.07.2024	2024-07-19T00:00:00.000Z	true	true	generic_DOIs_provided		SWITZERLAND|FRANCE	climate change|experimental measures|geographic range|physiological niche|realized niche|species distribution|thermal limits	JOURNAL	https://doi.org/10.1002/ecs2.4931	10.1002/ecs2.4931	93bda9d5-971a-3aeb-9a18-98165ef0a603	Macroclimatic data are widely used to estimate the realized environmental niche of species and predict the current or the future spatial distribution of species. Because the realized niche is a subset of the fundamental nicheâ€”constrained by biotic interactions and dispersal limitationsâ€”proxies of the fundamental niche (e.g., thermal limits obtained from physiological experiments) are sometimes combined with macroclimatic data under the assumption that areas predicted as unsuitable from a realized niche perspective may belong to the species' fundamental niche. However, it is unclear whether this assumption is valid and whether thermal limits can be combined with macroclimatic data. Here, we explored these questions using available physiological thermal limits measured for 151 ectotherms. Specifically, we explored whether physiological thermal limits are larger than observed (realized) thermal limits measured using macroclimatic data, and what would be the effect of considering the physiological niche in addition to the realized niche for current and future predictions. Our results confirm previously raised concerns, as physiological limits can delimit a narrower range of thermal tolerance than the realized niche, particularly at the cold end of the thermal gradient where adaptive and/or facilitative mechanisms could allow species to survive in temperatures below physiological limits. These findings show that combining data on physiological thermal limits with macroclimatic data is dubious and that spatial predictions should be interpreted with caution because data on physiological thermal limits do not fit well with macroclimatic data that do not capture the conditions that organisms experience in the wild. While estimated physiological thermal limits are likely of value to complement species distribution studies, they are likely more useful in biophysical models that account for additional processes including the animal's behavior.	ECOLOGY	2024-09-23T14:18:28.849Z	0204493-200613084148143|0205390-200613084148143|0205332-200613084148143|0205442-200613084148143|0205316-200613084148143|0204415-200613084148143|0205097-200613084148143|0204413-200613084148143|0204484-200613084148143|0205349-200613084148143|0204396-200613084148143|0204414-200613084148143|0205101-200613084148143|0205152-200613084148143|0205285-200613084148143|0204377-200613084148143|0205381-200613084148143|0204471-200613084148143|0205166-200613084148143|0205411-200613084148143|0205366-200613084148143|0205250-200613084148143
A Conceptual Framework for Choosing Target Species for Wildlife-Inclusive Urban Design	Beate Apfelbeck|Christine Jakoby|Maximilian Hanusch|Emanuel Boas Steffani|Thomas E. Hauck|Wolfgang W. Weisser	Sustainability	03.05.2020	2019-12-06T00:00:00.000Z	true	true	DOI		GERMANY|AUSTRIA	GIS|biodiversity|geo-referenced species data|human-wildlife interactions|stakeholder participation|urban design|urban planning|wildlife-inclusive urban design	JOURNAL	https://doi.org/10.3390/su11246972	10.3390/su11246972	ff12d0b7-7395-3f33-8747-b8e16eda5eda	Recent research has highlighted the significance of cities for biodiversity, making them important places for conservation in their own right. Current conservation approaches in cities are mostly defensive. Thus, they focus on remnant pockets of natural areas or try to protect particular species that occur in the built environment. These approaches are vulnerable to further urban development and do not create habitats. An alternative strategy is to make wildlife an integral part of urban development and thereby create a new habitat in the built-up area. Here we address the challenge of choosing target species for such wildlife-inclusive urban design. The starting point of our conceptual framework is the regional species pool, which can be obtained from geo-referenced species data. The existing habitat types on and around the development site and dispersal barriers limit the species numbers to the local species potential. In the next step, the siteâ€™s potential for each species is analyzedâ€”how can it be upgraded to host species given the planned development and the life-cycle of the species? For the final choice of target species, traits related to the humanâ€“animal interaction are considered. We suggest that stakeholders will be involved in the final species selection. Our approach differs from existing practice, such as expert choice of priority species, by (1) representing an open process where many species are potential targets of conservation, (2) the involvement of stakeholders in a participatory way. Our approach can also be used at larger spatial scales such as quarters or entire cities.	BIODIVERSITY_SCIENCE	2020-11-24T15:50:58.138Z	0023751-181108115102211
A crossâ€scale assessment of productivityâ€“diversity relationships	Dylan Craven|Masha T. Sande|Carsten Meyer|Katharina Gerstner|Joanne M. Bennett|Darren P. Giling|Jes Hines|Helen R. P. Phillips|Felix May|Katherine H. Bannarâ€Martin|Jonathan M. Chase|Petr Keil	Global Ecology and Biogeography	15.08.2020	2020-08-14T00:00:00.000Z	true	true	DOI		NETHERLANDS|GERMANY|UNITED_STATES|AUSTRALIA|CANADA	biodiversity|biomass|climate|ecosystem function|energy relationship|machine learning|more individuals hypothesis|spatial grain|species	JOURNAL	https://doi.org/10.1111/geb.13165	10.1111/geb.13165	4337c994-414b-3a11-be84-9c721b3e1b0a	Aim: Biodiversity and ecosystem productivity vary across the globe, and considerable effort has been made to describe their relationships. Biodiversity and ecosystem functioning research has traditionally focused on how experimentally controlled species richness affects net primary productivity (S â†’ NPP) at small spatial grains. In contrast, the influence of productivity on richness (NPP â†’ S) has been explored at many grains in naturally assembled communities. Mismatches in spatial scale between approaches have fuelled debate about the strength and direction of biodiversityâ€“productivity relationships. Here, we examine the direction and strength of the influence of productivity on diversity (NPP â†’ S) and the influence of diversity on productivity (S â†’ NPP) and how these vary across spatial grains.  Location: Contiguous USA.  Time period 1999â€“2015.  Major taxa studied Woody species (angiosperms and gymnosperms).  Methods: Using data from North American forests at grains from local (672 m2) to coarse spatial units (median area = 35,677 km2), we assess relationships between diversity and productivity using structural equation and random forest models, while accounting for variation in climate, environmental heterogeneity, management and forest age.  Results: We show that relationships between S and NPP strengthen with spatial grain. Within each grain, S â†’ NPP and NPP â†’ S have similar magnitudes, meaning that processes underlying S â†’ NPP and NPP â†’ S either operate simultaneously or that one of them is real and the other is an artefact. At all spatial grains, S was one of the weakest predictors of forest productivity, which was largely driven by biomass, temperature and forest management and age.  Main conclusions We conclude that spatial grain mediates relationships between biodiversity and productivity in realâ€world ecosystems and that results supporting predictions from each approach (NPP â†’ S and S â†’ NPP) serve as an impetus for future studies testing underlying mechanisms. Productivityâ€“diversity relationships emerge at multiple spatial grains, which should widen the focus of national and global policy and research to larger spatial grains.	ECOLOGY	2020-11-24T15:54:45.862Z	0011954-160910150852091
A global approach for natural history museum collections	Kirk R. Johnson|Ian F. P. Owens	Science	24.03.2023	2023-03-23T00:00:00.000Z	false	true	DOI		PERU|SWITZERLAND|AUSTRALIA|BRAZIL|UNITED_KINGDOM|RUSSIAN_FEDERATION|KENYA|CANADA|ARGENTINA|AUSTRIA|CHINA|NETHERLANDS|ITALY|SWEDEN|HUNGARY|FINLAND|SPAIN|ISRAEL|INDIA|DENMARK|BELGIUM|JAPAN|GERMANY|NEW_ZEALAND|UNITED_STATES|FRANCE|SOUTH_AFRICA		JOURNAL	https://doi.org/10.1126/science.adf6434	10.1126/science.adf6434	6dfb612d-0e29-34b6-86b6-5f9efbf6f50c	Integration of the worldâ€™s natural history collections can provide a resource for decision-makers	DATA_MANAGEMENT	2023-03-24T12:38:58.724Z	0434898-210914110416597
A global review of the American mink (Neovison vison) removal techniquesâ€“Patagonia as a case study for their potential application ðŸ‡¨ðŸ‡±ðŸ‡¦ðŸ‡·	Ronar LÃ³pez|B. Kay Clapperton|Gonzalo Medina-Vogel	Gayana	12.08.2023	2023-08-08T00:00:00.000Z	true	true	DOI	CHILE|ARGENTINA	NEW_ZEALAND|CHILE	bait|control|management|trapping	JOURNAL	https://gayana.cl/index.php/gn/article/view/292		bf4fbfad-2132-30c5-984b-707839ee78b9	American mink (Neovison vison) represents a threat to both biodiversity and economy in various regions of the world, including Patagonia. This invasive species has been successfully removed from many areas of Europe. In Chile and Argentina there have been only patchily distributed attempts of local control to date and large-scale removal has been considered unfeasible. We analyzed available scientific information, to determine best-fit strategies and improved methodologies that increase efficiency (capture per unit of effort) in American mink control. We reviewed published papers about programs that aimed at local control, functional or total eradication of minks in the Web of Science (WoS) database. Based on accessible information, the influence of some field variables on capture efficiency was determined through a General Lineal Model. From 1525 results in the WoS search, 51 papers refer to mink control action carried out in 28 areas of Europe and South America since 1992. Trapping has been the most used and efficient capture method.  Short  trapping periods  that  cover larger lineal  distances  per control program,  and  the  use  of attractants, specifically pheromones, have led to improved control efficiency. Chilean, Scottish and English experiences showed among the highest trapping efficiency values. We identify areas of research needed on mink ecology and behavior and trapping techniques that could improve trapping efficiency. A control program that incorporates the outcomes of this data assessment has the potential to improve feral mink removal. But further research is required to ensure that these efficiency measures result in cost-effective control in Patagonia.	INVASIVES	2023-08-15T07:52:03.761Z	0040456-210914110416597
A global test of ecoregions	Jeffrey R. Smith|Andrew D. Letten|Po-Ju Ke|Christopher B. Anderson|J. Nicholas Hendershot|Manpreet K. Dhami|Glade A. Dlott|Tess N. Grainger|Meghan E. Howard|Beth M. L. Morrison|Devin Routh|Priscilla A. San Juan|Harold A. Mooney|Erin A. Mordecai|Thomas W. Crowther|Gretchen C. Daily	Nature Ecology & Evolution	07.11.2018	2018-11-05T00:00:00.000Z	false	true	generic_DOIs_provided		SWITZERLAND|NEW_ZEALAND|UNITED_STATES|CANADA		JOURNAL	https://doi.org/10.1038/s41559-018-0709-x|http://www.nature.com/articles/s41559-018-0709-x	2397-334X|10.1038/s41559-018-0709-x	e306ae5a-8e0b-31fc-a81d-301168a2ae49	A foundational paradigm in biological and Earth sciences is that our planet is divided into distinct ecoregions and biomes demarking unique assemblages of species. This notion has profoundly influenced scientific research and environmental policy. Given recent advances in technology and data availability, however, we are now poised to ask whether ecoregions meaningfully delimit biological communities. Using over 200 million observations of plants, animals and fungi we show compelling evidence that ecoregions delineate terrestrial biodiversity patterns. We achieve this by testing two competing hypotheses: the sharp-transition hypothesis, positing that ecoregion borders divide differentiated biotic communities; and the gradual-transition hypothesis, proposing instead that species turnover is continuous and largely independent of ecoregion borders. We find strong support for the sharp-transition hypothesis across all taxa, although adherence to ecoregion boundaries varies across taxa. Although plant and vertebrate species are tightly linked to sharp ecoregion boundaries, arthropods and fungi show weaker affiliations to this set of ecoregion borders. Our results highlight the essential value of ecological data for setting conservation priorities and reinforce the importance of protecting habitats across as many ecoregions as possible. Specifically, we conclude that ecoregion-based conservation planning can guide investments that simultaneously protect species-, community- and ecosystem-level biodiversity, key for securing Earthâ€™s life support systems into the future.	BIODIVERSITY_SCIENCE	2020-11-24T15:49:38.347Z	0011822-180412121330197|0011815-180412121330197|0011799-180412121330197|0011811-180412121330197|0011818-180412121330197|0011802-180412121330197|0011797-180412121330197
